#time,T,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.0008490000000000141,2128.8338629797086,1.6996867115306435e-06,0.00023920252549642227,2.0888283770471416e-05,0.12523669683151098,0.0024758731953352844,0.11500654728360654,0.7569612783020319,9.757489254706434e-10,2.3518157320749914e-05,5.297660939806175e-06,2.8629487673996974e-07,2.8710802273558637e-05,3.76963273016897e-13,0.0
0.0008500000000000142,2128.8361405342976,1.6992218958277306e-06,0.00023915887606439068,2.088447376472884e-05,0.12523679901821375,0.002475653565040322,0.1150067018728316,0.7569612686976387,9.755887637359755e-10,2.3538732335160078e-05,5.297520343181991e-06,2.862436329620301e-07,2.8710802273558637e-05,3.768830820253535e-13,0.0
0.0008510000000000142,2128.838402106129,1.6987603541143868e-06,0.00023911552986253599,2.0880690246734193e-05,0.1252369004314582,0.002475435438490396,0.11500685539920144,0.7569612590948234,9.754297268136646e-10,2.355930396700404e-05,5.297380770082475e-06,2.8619274581668164e-07,2.8710802273558637e-05,3.7680346270379814e-13,0.0
0.0008520000000000142,2128.8406478074257,1.6983020624627546e-06,0.0002390724847297157,2.0876933027610916e-05,0.12523700107661723,0.002475218805255538,0.11500700787014527,0.7569612494935752,9.752718067522754e-10,2.3579872239427846e-05,5.297242212507333e-06,2.861422127570847e-07,2.8710802273558637e-05,3.767244107679014e-13,0.0
0.0008530000000000142,2128.8428777496024,1.6978469971293686e-06,0.00023902973852074855,2.0873201919878653e-05,0.1252371009590258,0.0024750036549791806,0.11500715929303928,0.7569612398938834,9.75114995658273e-10,2.3600437175415116e-05,5.297104662522992e-06,2.860920312552771e-07,2.8710802273558637e-05,3.76645921967788e-13,0.0
0.0008540000000000143,2128.8450920432733,1.697395134553272e-06,0.00023898728910626442,2.0869496737440107e-05,0.12523720008398134,0.002474789977377537,0.11500730967520714,0.7569612302957373,9.749592856954957e-10,2.3620998797788408e-05,5.296968112261726e-06,2.8604219880199596e-07,2.8710802273558637e-05,3.7656799208765846e-13,0.0
0.0008550000000000143,2128.84729079826,1.6969464513541354e-06,0.00023894513437255435,2.0865817295567925e-05,0.12523729845674395,0.0024745777622389815,0.11500745902392036,0.7569612206991263,9.748046690846257e-10,2.364155712921058e-05,5.296832553920785e-06,2.859927129064988e-07,2.8710802273558637e-05,3.7649061694541093e-13,0.0
0.0008560000000000143,2128.8494741235977,1.6965009243303743e-06,0.00023890327222142043,2.0862163410891536e-05,0.12523739608253678,0.002474366999423428,0.11500760734639882,0.75696121110404,9.746511381026616e-10,2.3662112192186146e-05,5.296697979761515e-06,2.8594357109638506e-07,2.8710802273558637e-05,3.764137923922631e-13,0.0
0.0008570000000000143,2128.851642127186,1.6960585305677677e-06,0.00023886170057807455,2.0858534902089635e-05,0.12523749296653142,0.0024741576788901406,0.1150077546497889,0.756961201510468,9.744986851096353e-10,2.3682664009000526e-05,5.296564382246417e-06,2.8589477092699034e-07,2.8710802273558637e-05,3.763375143335698e-13,0.0
0.0008580000000000144,2128.8537949165293,1.695619247210465e-06,0.00023882041737444611,2.085493158842684e-05,0.12523758911387886,0.0024739497906386783,0.11500790094120979,0.7569611919183997,9.743473024920857e-10,2.3703212601849066e-05,5.296431753754791e-06,2.858463099615332e-07,2.8710802273558637e-05,3.7626177868488144e-13,0.0
