# Position_mm,Temperature_K,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
1.751953124999999645e+01,9.383137928067571920e+02,1.722165392139491519e-02,5.343816631357641879e-04,8.398207166219478917e-04,1.833031057343179060e-01,1.107149213852927101e-03,5.353913589377628374e-02,2.563929284690992191e-04,7.809367878722822047e-05,5.331205436077577034e-16,7.431202662505894674e-01
1.752014160156249645e+01,9.418349383918219928e+02,1.715765862035442679e-02,5.410544509089716333e-04,8.570851130812851644e-04,1.828773900203617131e-01,1.112791518640573541e-03,5.402881331437937168e-02,2.544558728443222667e-04,7.664387353437249943e-05,5.319459461289051534e-16,7.430941072178415263e-01
1.752075195312499645e+01,9.453488286051998557e+02,1.709361308121712733e-02,5.477551631976176677e-04,8.745896496395347101e-04,1.824490521477006300e-01,1.118622696314865248e-03,5.452051895478876586e-02,2.525433205581058683e-04,7.521126279793956010e-05,-3.592632640940615342e-15,7.430680937241090911e-01
1.752136230468749645e+01,9.488554528692511667e+02,1.702951888878953546e-02,5.544834130876101627e-04,8.923340816144388924e-04,1.820180853500304174e-01,1.124644829032543951e-03,5.501425053061157616e-02,2.506547788132736944e-04,7.379602458200961465e-05,-1.111980603284777235e-15,7.430422321047959189e-01
1.752197265625000000e+01,9.523548010792347895e+02,1.696537766038187095e-02,5.612388081531460024e-04,9.103180757703630954e-04,1.815844836019536723e-01,1.130859926087060888e-03,5.551000518488396346e-02,2.487897648418236837e-04,7.239832315464276853e-05,-2.831046292301616864e-15,7.430165286551374537e-01
1.752258300781250355e+01,9.558468635733332803e+02,1.690119104642047454e-02,5.680209503889489895e-04,9.285412103035497067e-04,1.811482416365822190e-01,1.137269924529310961e-03,5.600777947736507167e-02,2.469478058417892046e-04,7.101830929185479918e-05,-5.178910424927484256e-16,7.429909896401142300e-01
1.752319335937500000e+01,9.593316311041204472e+02,1.683696073049404524e-02,5.748294361291666436e-04,9.470029748223657978e-04,1.807093549569311064e-01,1.143876689679903733e-03,5.650756937263221730e-02,2.451284388584129906e-04,6.965612046137782329e-05,-9.741325475846217496e-17,7.429656212814821359e-01
1.752380371093750000e+01,9.628090948113341483e+02,1.677268842967846035e-02,5.816638559831288375e-04,9.657027704149183074e-04,1.802678198500527185e-01,1.150682015641811291e-03,5.700937022969013862e-02,2.433312107282334521e-04,6.831188105729266516e-05,-2.329111869831892315e-15,7.429404297580105565e-01
1.752441406250000000e+01,9.662792461958216563e+02,1.670837589476529758e-02,5.885237947739544156e-04,9.846399097539443139e-04,1.798236333999323200e-01,1.157687625757204426e-03,5.751317679186909726e-02,2.415556780243821773e-04,6.698570262183636012e-05,-3.652908078160044239e-15,7.429154212028747928e-01
1.752502441406250000e+01,9.697420770947978781e+02,1.664402491045828200e-02,5.954088314830138047e-04,1.003813617248571584e-03,1.793767934998319602e-01,1.164895173019293113e-03,5.801898317725708715e-02,2.398014070210231579e-04,6.567768406783254574e-05,-1.409263073437422530e-15,7.428906017011216445e-01
1.752563476562500000e+01,9.731975796582785279e+02,1.657963729537053829e-02,6.023185391939517644e-04,1.023223029230612259e-03,1.789272988622638005e-01,1.172306240425999334e-03,5.852678286905736021e-02,2.380679736789092105e-04,6.438791190081976713e-05,-3.726007162252726118e-15,7.428659772795794813e-01
1.752624511718750000e+01,9.766457463266722243e+02,1.651521490235881989e-02,6.092524850565180774e-04,1.042867194222726933e-03,1.784751490323439882e-01,1.179922341328699378e-03,5.903656870774801058e-02,2.363549636992450594e-04,6.311646047773800886e-05,-2.824266538446142287e-15,7.428415539129782363e-01
1.752685546874999645e+01,9.800865698094848995e+02,1.645075961849290849e-02,6.162102302433232785e-04,1.062745073210529575e-03,1.780203443970108657e-01,1.187744919687878063e-03,5.954833288260789198e-02,2.346619725706171626e-04,6.186339222422830271e-05,6.181195023928730487e-17,7.428173375154666358e-01
1.752746582031249645e+01,9.835200430650968428e+02,1.638627336504195481e-02,6.231913299147050830e-04,1.082855539970744956e-03,1.775628861941654923e-01,1.195775350292601182e-03,6.006206692391543450e-02,2.329886056879663069e-04,6.062875787964777506e-05,-2.231067948128817750e-15,7.427933339340265784e-01
1.752807617187499645e+01,9.869461592815631548e+02,1.632175809769192618e-02,6.301953331999907712e-04,1.103197381464700744e-03,1.771027765240585639e-01,1.204014938951619576e-03,6.057776169662910243e-02,2.313344785481328473e-04,5.941259676140328653e-05,-2.080423347204707847e-15,7.427695489536464413e-01
1.752868652343749645e+01,9.903649118583847439e+02,1.625721580637009070e-02,6.372217831703369485e-04,1.123769298230364823e-03,1.766400183561996629e-01,1.212464922579228627e-03,6.109540739328438858e-02,2.296992169737761694e-04,5.821493699222806458e-05,-2.154999932661363987e-15,7.427459882863828300e-01
1.752929687500000000e+01,9.937762943892126941e+02,1.619264851535004782e-02,6.442702168307029792e-04,1.144569904849781052e-03,1.761746155390265522e-01,1.221126469255405913e-03,6.161499352856593392e-02,2.280824574613153047e-04,5.703579576671247880e-05,8.338800139913348864e-16,7.427226575743385295e-01
1.752990722656250355e+01,9.971803006453251328e+02,1.612805828300896069e-02,6.513401651049243422e-04,1.165597730418003195e-03,1.757065728055498821e-01,1.230000678174152443e-03,6.213650893321012725e-02,2.264838476009177633e-04,5.587517959096439002e-05,-1.149750439844106211e-15,7.426995623783038125e-01
1.753051757812500000e+01,1.000576924559976987e+03,1.606344720192679626e-02,6.584311528433024795e-04,1.186851219091195975e-03,1.752358957824258490e-01,1.239088579554730764e-03,6.265994174986855292e-02,2.249030466633495198e-04,5.473308456308869486e-05,-1.243378652210765675e-15,7.426767081833126616e-01
1.753112792968750000e+01,1.003965763352076237e+03,1.599881739031392899e-02,6.655426997782075806e-04,1.208328733428873456e-03,1.747625909313905712e-01,1.248391135608897763e-03,6.318527950482968891e-02,2.233397260890878863e-04,5.360949646568170394e-05,1.480910146297708346e-15,7.426541003838535993e-01
1.753173828125000000e+01,1.007346590710719283e+03,1.593417098694959247e-02,6.726743211630727571e-04,1.230028558383931088e-03,1.742866655171763923e-01,1.257909241041478207e-03,6.371250915003241755e-02,2.217935637100996722e-04,5.250439090557790380e-05,-1.713087461899320739e-15,7.426317442712641048e-01
1.753234863281250000e+01,1.010719370115633410e+03,1.586951015893786621e-02,6.798255269782808950e-04,1.251948900494375154e-03,1.738081276724752489e-01,1.267643722011424761e-03,6.424161699371917778e-02,2.202642412674938482e-04,5.141773372274437848e-05,-5.021918518104066327e-16,7.426096450513999248e-01
1.753295898437500000e+01,1.014084064879804714e+03,1.580483710527843741e-02,6.869958214886691134e-04,1.274087887475622858e-03,1.733269864291142881e-01,1.277595335648018787e-03,6.477258866096174961e-02,2.187514448153007971e-04,5.034948129333300282e-05,-7.634956075581614164e-16,7.425878078348843170e-01
