# time,O2,AR,O,H2O2,HO2,T,H2O,NO,N2,OH,H2,OH*,HE,N,H
7.3e-05,0.229946,2.92494e-05,1.40778e-07,1.29528e-07,1.32624e-05,1000.08,8.55121e-06,1.0091500000000001e-18,0.756964,5.5958e-08,0.0130379,1.75799e-18,0,5.62379e-21,3.68606e-08
7.4e-05,0.229946,2.92494e-05,1.44796e-07,1.37374e-07,1.37151e-05,1000.08,8.85761e-06,1.04555e-18,0.756964,5.7642e-08,0.0130379,1.8595800000000002e-18,0,5.78463e-21,3.79086e-08
7.5e-05,0.229945,2.92494e-05,1.4894e-07,1.45641e-07,1.41793e-05,1000.08,9.17334e-06,1.08299e-18,0.756964,5.93857e-08,0.0130378,1.9673600000000003e-18,0,5.950499999999999e-21,3.89897e-08
7.6e-05,0.229944,2.92494e-05,1.53216e-07,1.54351e-07,1.46552e-05,1000.09,9.49874e-06,1.1215e-18,0.756964,6.11921e-08,0.0130377,2.0817700000000004e-18,0,6.1216299999999996e-21,4.01055e-08
7.7e-05,0.229943,2.92494e-05,1.57631e-07,1.63525e-07,1.51433e-05,1000.09,9.83416e-06,1.1611200000000002e-18,0.756964,6.30644e-08,0.0130377,2.2032900000000003e-18,0,6.2982899999999994e-21,4.12576e-08
7.8e-05,0.229943,2.92494e-05,1.6219e-07,1.73188e-07,1.56438e-05,1000.09,1.018e-05,1.2018900000000002e-18,0.756964,6.50062e-08,0.0130376,2.3324300000000004e-18,0,6.480729999999999e-21,4.24478e-08
7.9e-05,0.229942,2.92494e-05,1.66902e-07,1.83364e-07,1.61571e-05,1000.1,1.05366e-05,1.2438400000000002e-18,0.756964,6.70209e-08,0.0130376,2.46977e-18,0,6.66925e-21,4.36779e-08
8e-05,0.229941,2.92494e-05,1.71774e-07,1.94078e-07,1.66836e-05,1000.1,1.09044e-05,1.28701e-18,0.756964,6.91127e-08,0.0130375,2.6159100000000002e-18,0,6.86413e-21,4.49501e-08
8.1e-05,0.22994,2.92494e-05,1.76813e-07,2.05359e-07,1.72235e-05,1000.1,1.12839e-05,1.33144e-18,0.756964,7.12856e-08,0.0130375,2.7715100000000004e-18,0,7.06571e-21,4.62663e-08
8.2e-05,0.229939,2.92494e-05,1.82029e-07,2.17235e-07,1.77773e-05,1000.11,1.16755e-05,1.3771900000000001e-18,0.756964,7.35441e-08,0.0130374,2.9373100000000003e-18,0,7.274309999999999e-21,4.76289e-08
8.3e-05,0.229938,2.92494e-05,1.8743e-07,2.29736e-07,1.83454e-05,1000.11,1.20796e-05,1.42429e-18,0.756964,7.58929e-08,0.0130373,3.1141e-18,0,7.49029e-21,4.90401e-08
8.4e-05,0.229937,2.92494e-05,1.93026e-07,2.42894e-07,1.89281e-05,1000.12,1.24969e-05,1.47279e-18,0.756964,7.83371e-08,0.0130373,3.30273e-18,0,7.71405e-21,5.05026e-08
8.5e-05,0.229936,2.92494e-05,1.98826e-07,2.56743e-07,1.9526e-05,1000.12,1.29278e-05,1.52275e-18,0.756964,8.0882e-08,0.0130372,3.50415e-18,0,7.94597e-21,5.20189e-08
8.6e-05,0.229935,2.92494e-05,2.04843e-07,2.71319e-07,2.01395e-05,1000.12,1.33729e-05,1.5742200000000001e-18,0.756964,8.35335e-08,0.0130371,3.71938e-18,0,8.18651e-21,5.35921e-08
8.7e-05,0.229934,2.92494e-05,2.11087e-07,2.86658e-07,2.0769e-05,1000.13,1.38329e-05,1.6272500000000001e-18,0.756964,8.62977e-08,0.0130371,3.9495600000000004e-18,0,8.43611e-21,5.5225e-08
8.8e-05,0.229933,2.92494e-05,2.1757e-07,3.02799e-07,2.1415e-05,1000.13,1.43083e-05,1.6819100000000002e-18,0.756964,8.91812e-08,0.013037,4.1959200000000004e-18,0,8.69526e-21,5.6921e-08
8.9e-05,0.229932,2.92494e-05,2.24307e-07,3.19785e-07,2.20781e-05,1000.14,1.47999e-05,1.73826e-18,0.756964,9.21911e-08,0.0130369,4.4598100000000005e-18,0,8.96449e-21,5.86835e-08
9e-05,0.229931,2.92494e-05,2.3131e-07,3.3766e-07,2.27589e-05,1000.14,1.53084e-05,1.7963600000000002e-18,0.756964,9.53351e-08,0.0130368,4.742710000000001e-18,0,9.24436e-21,6.05162e-08
9.1e-05,0.22993,2.92494e-05,2.38595e-07,3.56468e-07,2.34578e-05,1000.15,1.58345e-05,1.85629e-18,0.756964,9.86213e-08,0.0130367,5.04626e-18,0,9.53545e-21,6.2423e-08
9.2e-05,0.229929,2.92494e-05,2.46177e-07,3.7626e-07,2.41754e-05,1000.15,1.6379e-05,1.9181100000000003e-18,0.756964,1.02058e-07,0.0130366,5.372250000000001e-18,0,9.83842e-21,6.44083e-08
9.3e-05,0.229927,2.92494e-05,2.54075e-07,3.97087e-07,2.49125e-05,1000.16,1.69429e-05,1.98192e-18,0.756964,1.05656e-07,0.0130366,5.72268e-18,0,1.0153899999999999e-20,6.64764e-08
9.4e-05,0.229926,2.92494e-05,2.62305e-07,4.19003e-07,2.56696e-05,1000.16,1.7527e-05,2.04778e-18,0.756964,1.09424e-07,0.0130365,6.0997e-18,0,1.0482699999999999e-20,6.86323e-08
9.5e-05,0.229925,2.92494e-05,2.70889e-07,4.42065e-07,2.64475e-05,1000.17,1.81324e-05,2.1157900000000002e-18,0.756964,1.13374e-07,0.0130364,6.50575e-18,0,1.0825599999999999e-20,7.08812e-08
9.6e-05,0.229923,2.92494e-05,2.79846e-07,4.66336e-07,2.72467e-05,1000.17,1.876e-05,2.18605e-18,0.756964,1.17517e-07,0.0130363,6.94349e-18,0,1.1183399999999998e-20,7.32285e-08
9.7e-05,0.229922,2.92494e-05,2.89199e-07,4.91879e-07,2.80682e-05,1000.18,1.9411e-05,2.2586500000000003e-18,0.756964,1.21866e-07,0.0130362,7.41587e-18,0,1.1556899999999998e-20,7.56803e-08
9.8e-05,0.22992,2.92494e-05,2.98973e-07,5.18762e-07,2.89127e-05,1000.19,2.00865e-05,2.33369e-18,0.756964,1.26434e-07,0.0130361,7.926170000000001e-18,0,1.1947299999999999e-20,7.8243e-08
9.9e-05,0.229919,2.92494e-05,3.09193e-07,5.47058e-07,2.9781e-05,1000.19,2.07879e-05,2.4112900000000003e-18,0.756964,1.31238e-07,0.013036,8.47802e-18,0,1.2355399999999999e-20,8.09235e-08
0.0001,0.229917,2.92494e-05,3.19889e-07,5.76844e-07,3.0674e-05,1000.2,2.15164e-05,2.4915700000000003e-18,0.756964,1.36292e-07,0.0130358,9.075470000000002e-18,0,1.2782499999999999e-20,8.37292e-08
0.000101,0.229916,2.92494e-05,3.31089e-07,6.082e-07,3.15926e-05,1000.21,2.22736e-05,2.5746400000000003e-18,0.756964,1.41615e-07,0.0130357,9.72303e-18,0,1.3229699999999999e-20,8.66682e-08
0.000102,0.229914,2.92494e-05,3.42827e-07,6.41213e-07,3.25378e-05,1000.21,2.30609e-05,2.66065e-18,0.756964,1.47225e-07,0.0130356,1.04257e-17,0,1.36983e-20,8.97491e-08
0.000103,0.229912,2.92494e-05,3.55138e-07,6.75975e-07,3.35106e-05,1000.22,2.38801e-05,2.7497400000000002e-18,0.756964,1.53143e-07,0.0130355,1.11891e-17,0,1.4189799999999998e-20,9.29812e-08
0.000104,0.229911,2.92494e-05,3.6806e-07,7.12582e-07,3.45121e-05,1000.23,2.47329e-05,2.84207e-18,0.756964,1.59391e-07,0.0130353,1.20196e-17,0,1.47057e-20,9.63747e-08
0.000105,0.229909,2.92494e-05,3.81634e-07,7.51137e-07,3.55433e-05,1000.24,2.56213e-05,2.9377800000000004e-18,0.756964,1.65994e-07,0.0130352,1.29241e-17,0,1.5247599999999998e-20,9.99404e-08
0.000106,0.229907,2.92494e-05,3.95904e-07,7.91751e-07,3.66055e-05,1000.25,2.65472e-05,3.03706e-18,0.756964,1.72979e-07,0.0130351,1.39106e-17,0,1.58173e-20,1.0369e-07
0.000107,0.229905,2.92494e-05,4.1092e-07,8.3454e-07,3.76999e-05,1000.26,2.7513e-05,3.1401e-18,0.756964,1.80373e-07,0.0130349,1.49879e-17,0,1.64167e-20,1.07637e-07
0.000108,0.229903,2.92494e-05,4.26734e-07,8.79628e-07,3.88279e-05,1000.27,2.8521e-05,3.2470800000000004e-18,0.756964,1.8821e-07,0.0130348,1.61661e-17,0,1.7048000000000002e-20,1.11795e-07
0.000109,0.229901,2.92494e-05,4.43402e-07,9.27147e-07,3.99907e-05,1000.28,2.95737e-05,3.3582300000000003e-18,0.756964,1.96524e-07,0.0130346,1.74564e-17,0,1.7713299999999998e-20,1.16178e-07
0.00011,0.229899,2.92494e-05,4.60987e-07,9.77239e-07,4.119e-05,1000.29,3.06741e-05,3.47377e-18,0.756964,2.05354e-07,0.0130344,1.88716e-17,0,1.84153e-20,1.20805e-07
0.000111,0.229896,2.92494e-05,4.79556e-07,1.03005e-06,4.24271e-05,1000.3,3.1825e-05,3.59395e-18,0.756964,2.1474e-07,0.0130343,2.04261e-17,0,1.9156599999999997e-20,1.25691e-07
0.000112,0.229894,2.92494e-05,4.99184e-07,1.08575e-06,4.37038e-05,1000.31,3.30297e-05,3.7190400000000005e-18,0.756964,2.24729e-07,0.0130341,2.21365e-17,0,1.99401e-20,1.30858e-07
0.000113,0.229891,2.92494e-05,5.19951e-07,1.1445e-06,4.50218e-05,1000.32,3.42918e-05,3.8493100000000005e-18,0.756964,2.35371e-07,0.0130339,2.40212e-17,0,2.0769199999999998e-20,1.36327e-07
0.000114,0.229889,2.92494e-05,5.41944e-07,1.20648e-06,4.63829e-05,1000.33,3.56151e-05,3.9850700000000005e-18,0.756964,2.46722e-07,0.0130337,2.61017e-17,0,2.1647199999999998e-20,1.4212e-07
0.000115,0.229886,2.92494e-05,5.65262e-07,1.2719e-06,4.77889e-05,1000.35,3.70037e-05,4.12666e-18,0.756964,2.58845e-07,0.0130335,2.84021e-17,0,2.2578199999999997e-20,1.48264e-07
0.000116,0.229883,2.92494e-05,5.90009e-07,1.34096e-06,4.9242e-05,1000.36,3.84623e-05,4.2744200000000004e-18,0.756964,2.71806e-07,0.0130333,3.09502e-17,0,2.35664e-20,1.54787e-07
0.000117,0.22988,2.92494e-05,6.16301e-07,1.41388e-06,5.07442e-05,1000.37,3.99957e-05,4.4287500000000004e-18,0.756964,2.85681e-07,0.013033,3.3778e-17,0,2.4616399999999998e-20,1.6172e-07
0.000118,0.229877,2.92494e-05,6.44267e-07,1.4909e-06,5.22979e-05,1000.39,4.16093e-05,4.590070000000001e-18,0.756964,3.00553e-07,0.0130328,3.69221e-17,0,2.5733299999999997e-20,1.69097e-07
0.000119,0.229874,2.92494e-05,6.74048e-07,1.57228e-06,5.39053e-05,1000.4,4.33091e-05,4.758820000000001e-18,0.756964,3.16517e-07,0.0130325,4.04246e-17,0,2.6923e-20,1.76955e-07
0.00012,0.229871,2.92494e-05,7.05799e-07,1.6583e-06,5.55691e-05,1000.42,4.51014e-05,4.9355e-18,0.756964,3.33673e-07,0.0130323,4.43345e-17,0,2.81915e-20,1.85337e-07
0.000121,0.229867,2.92494e-05,7.39692e-07,1.74924e-06,5.72918e-05,1000.44,4.69934e-05,5.12064e-18,0.756964,3.52139e-07,0.013032,4.87081e-17,0,2.9546e-20,1.94287e-07
